41384.26466652009,646,2017-05-14 20:22:06.264667+00:50
41390.92569000927,544,2017-05-14 20:22:12.925690+00:50
45182.084539036536,294,2017-05-14 21:25:24.084539+00:50
45245.513654172944,325,2017-05-14 21:26:27.513654+00:50
45252.21066044284,596,2017-05-14 21:26:34.210660+00:50
45252.67660324293,97,2017-05-14 21:26:34.676603+00:50
46020.828903508715,954,2017-05-14 21:39:22.828904+00:50
47436.54658510176,338,2017-05-14 22:02:58.546585+00:50
49337.61678549591,372,2017-05-14 22:34:39.616785+00:50
50244.95554340065,450,2017-05-14 22:49:46.955543+00:50
50245.14068824384,283,2017-05-14 22:49:47.140688+00:50
50246.77298282036,777,2017-05-14 22:49:48.772983+00:50
50248.91479702173,277,2017-05-14 22:49:50.914797+00:50
50250.18297788147,947,2017-05-14 22:49:52.182978+00:50
50250.30459763076,538,2017-05-14 22:49:52.304598+00:50
50250.75250824077,310,2017-05-14 22:49:52.752508+00:50
50255.13261446186,711,2017-05-14 22:49:57.132614+00:50
50258.159718439245,215,2017-05-14 22:50:00.159718+00:50
50311.74964559948,844,2017-05-14 22:50:53.749646+00:50
51997.65484620335,243,2017-05-14 23:18:59.654846+00:50
52242.484940638526,468,2017-05-14 23:23:04.484941+00:50
53144.82451363151,320,2017-05-14 23:38:06.824514+00:50
58144.281633250794,964,2017-05-15 01:01:26.281633+00:50
58145.69295610547,400,2017-05-15 01:01:27.692956+00:50
58150.91862571408,243,2017-05-15 01:01:32.918626+00:50
58151.90755836273,537,2017-05-15 01:01:33.907558+00:50
58152.23467144821,975,2017-05-15 01:01:34.234671+00:50
58153.13181962123,64,2017-05-15 01:01:35.131820+00:50
58153.68773810167,392,2017-05-15 01:01:35.687738+00:50
58154.34872241758,925,2017-05-15 01:01:36.348722+00:50
58155.33306182013,610,2017-05-15 01:01:37.333062+00:50
58158.013507537435,795,2017-05-15 01:01:40.013508+00:50
58159.08597448236,1,2017-05-15 01:01:41.085974+00:50
58160.66821049257,948,2017-05-15 01:01:42.668210+00:50
58163.45377648957,92,2017-05-15 01:01:45.453776+00:50
58165.5026172014,674,2017-05-15 01:01:47.502617+00:50
58165.67253194588,839,2017-05-15 01:01:47.672532+00:50
58170.93271706429,168,2017-05-15 01:01:52.932717+00:50
66770.3384906535,977,2017-05-15 03:25:12.338491+00:50
68388.7935759922,655,2017-05-15 03:52:10.793576+00:50
70569.70379145697,54,2017-05-15 04:28:31.703791+00:50
74557.81260642354,227,2017-05-15 05:34:59.812606+00:50
84360.63626804767,396,2017-05-15 08:18:22.636268+00:50
85408.58381452732,473,2017-05-15 08:35:50.583815+00:50
3383.4555426424135,219,2017-05-15 11:56:49.455543+00:50
6556.821513167613,66,2017-05-15 12:49:42.821513+00:50
